2025-02-24 16:20 [DEBUG] IncreaseProfit Alpha 0.3.4: Starting deep economy check...
2025-02-24 16:20 [DEBUG] Current month (period): 9
2025-02-24 16:20 [DEBUG] Selling station #1: table: 0x000001fe22fc36e8
2025-02-24 16:20 [DEBUG] Station #1 name/type: Unknown
2025-02-24 16:20 [DEBUG] Station #1 fillTypePrices (before):
2025-02-24 16:20 [DEBUG]   - FillType ROOFPLATES: 1.74
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: 3.20
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: 1.15
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: 1.43
2025-02-24 16:20 [DEBUG]   - FillType CEMENTBRICKS: 1.74
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: 2.14
2025-02-24 16:20 [DEBUG]   - FillType PREFABWALL: 5.44
2025-02-24 16:20 [DEBUG] Station #1 fillTypePrices (after):
2025-02-24 16:20 [DEBUG]   - FillType ROOFPLATES: 1.74
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: 3.20
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: 1.15
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: 1.43
2025-02-24 16:20 [DEBUG]   - FillType CEMENTBRICKS: 1.74
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: 2.14
2025-02-24 16:20 [DEBUG]   - FillType PREFABWALL: 5.44
2025-02-24 16:20 [DEBUG] Station #1 acceptedFillTypes:
2025-02-24 16:20 [DEBUG]   - FillType ROOFPLATES: true
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: true
2025-02-24 16:20 [DEBUG]   - FillType CEMENT: true
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: true
2025-02-24 16:20 [DEBUG]   - FillType CEMENTBRICKS: true
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: true
2025-02-24 16:20 [DEBUG]   - FillType PREFABWALL: true
2025-02-24 16:20 [DEBUG] Selling station #2: table: 0x000001fe22feaa98
2025-02-24 16:20 [DEBUG] Station #2 name/type: Unknown
2025-02-24 16:20 [DEBUG] Station #2 fillTypePrices (before):
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: 3.49
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: 1.56
2025-02-24 16:20 [DEBUG]   - FillType ROPE: 6.06
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: 2.33
2025-02-24 16:20 [DEBUG]   - FillType FABRIC: 4.80
2025-02-24 16:20 [DEBUG] Station #2 fillTypePrices (after):
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: 3.49
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: 1.56
2025-02-24 16:20 [DEBUG]   - FillType ROPE: 6.06
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: 2.33
2025-02-24 16:20 [DEBUG]   - FillType FABRIC: 4.80
2025-02-24 16:20 [DEBUG] Station #2 acceptedFillTypes:
2025-02-24 16:20 [DEBUG]   - FillType WOODBEAM: true
2025-02-24 16:20 [DEBUG]   - FillType BOARDS: true
2025-02-24 16:20 [DEBUG]   - FillType ROPE: true
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: true
2025-02-24 16:20 [DEBUG]   - FillType FABRIC: true
2025-02-24 16:20 [DEBUG] Selling station #3: table: 0x000001fe2300a0c8
2025-02-24 16:20 [DEBUG] Station #3 name/type: Unknown
2025-02-24 16:20 [DEBUG] Station #3 fillTypePrices (before):
2025-02-24 16:20 [DEBUG]   - FillType ROPE: 5.20
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: 2.00
2025-02-24 16:20 [DEBUG]   - FillType FABRIC: 4.12
2025-02-24 16:20 [DEBUG] Station #3 fillTypePrices (after):
2025-02-24 16:20 [DEBUG]   - FillType ROPE: 5.20
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: 2.00
2025-02-24 16:20 [DEBUG]   - FillType FABRIC: 4.12
2025-02-24 16:20 [DEBUG] Station #3 acceptedFillTypes:
2025-02-24 16:20 [DEBUG]   - FillType ROPE: true
2025-02-24 16:20 [DEBUG]   - FillType PLANKS: true
2025-02-24 16:20 [DEBUG]   - FillType FABRIC: true
2025-02-24 16:20 [DEBUG] Selling station #4: table: 0x000001fe230afd98
2025-02-24 16:20 [DEBUG] Station #4 name/type: Unknown
2025-02-24 16:20 [DEBUG] Station #4 fillTypePrices (before):
2025-02-24 16:20 [DEBUG]   - FillType LIQUIDMANURE: 0.03
2025-02-24 16:20 [DEBUG] Station #4 fillTypePrices (after):
2025-02-24 16:20 [DEBUG]   - FillType LIQUIDMANURE: 0.03
2025-02-24 16:20 [DEBUG] Station #4 acceptedFillTypes:
2025-02-24 16:20 [DEBUG]   - FillType LIQUIDMANURE: true
2025-02-24 16:20 [DEBUG] Selling station #5: table: 0x000001fe230ac7c8
2025-02-24 16:20 [DEBUG] Station #5 name/type: Unknown
2025-02-24 16:20 [DEBUG] Station #5 fillTypePrices (before):
2025-02-24 16:20 [DEBUG]   - FillType MANURE: 0.03
2025-02-24 16:20 [DEBUG] Station #5 fillTypePrices (after):
2025-02-24 16:20 [DEBUG]   - FillType MANURE: 0.03
2025-02-24 16:20 [DEBUG] Station #5 acceptedFillTypes:
2025-02-24 16:20 [DEBUG]   - FillType MANURE: true
2025-02-24 16:20 [DEBUG] Selling station #6: table: 0x000001fe230c4528
2025-02-24 16:20 [DEBUG] Station #6 name/type: Unknown
2025-02-24 16:20 [DEBUG] Station #6 fillTypePrices (before):
2025-02-24 16:20 [DEBUG]   - FillType GRASS_WINDROW: 0.05
